sku,name,price,inventory,image_urls
14336,Pyjama Set,9.25,7,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/14336-pijama-takim-b01-81.jpg?v=1696833260, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/14336-pijama-takim-5-41f2.jpg?v=1696833267, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/14336-pijama-takim-9544-a.jpg?v=1696833275"
14677,Pyjama Set,8.04,3,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637638557527009091-DSC_2558.jpg?v=1696446922, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637638557532321676-DSC_2559.jpg?v=1696446926, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637638557537634410-DSC_2561.jpg?v=1696446931, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637638557542946624-DSC_2562.jpg?v=1696446936, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637638557548259174-DSC_2564.jpg?v=1696446940"
15072,Pyjama Set,7.92,4,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830416761654950-DSC_5056.jpg?v=1696448597, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830416767436434-DSC_5057.jpg?v=1696448600, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830416773530105-DSC_5058.jpg?v=1696448603, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830416754154895-DSC_5061.jpg?v=1696448608, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830416759936511-DSC_5062.jpg?v=1696448610"
15114,Unisex 2 Pack Gloves,3.85,5,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637741389494881343-15114_ELD.jpg?v=1696441785, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637741389503943921-DSC_4553_GRI.jpg?v=1696441789, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637741389533006525-DSC_4553_KIRMIZI.jpg?v=1696441796"
15125,Blouse,9.37,7,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637715473452240093-DSC_4371.jpg?v=1696441754, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637715473456927598-DSC_4373.jpg?v=1696441760"
15131,Blouse,9.37,7,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637759574596919312-DSC_4374.jpg?v=1696441784, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637759574602393015-DSC_4375.jpg?v=1696441789"
15147,Shorts Set,11.77,1,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637907392635460011-DSC_4774.jpg?v=1696448542, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637907392644522812-DSC_4775.jpg?v=1696448546, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637907392650303757-DSC_4776.jpg?v=1696448590, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637907392656241452-DSC_4777.jpg?v=1696448601, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637907392662491352-DSC_4779.jpg?v=1696448605"
15168,Salopet Set,13.81,1,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637937490811471805-DSC_5002.jpg?v=1696449695, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637937490817721621-DSC_5004.jpg?v=1696449699, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637937490806003052-DSC_4985.jpg?v=1696449704, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637937490805065719-DSC_4983.jpg?v=1696449708"
15257,T-Shirt,9.59,7,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637907392977229506-DSC_5409.jpg?v=1696442461, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637907392987854548-DSC_5410.jpg?v=1696442469"
15305,Pyjama Set,7.92,3,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830420362160926-DSC_5343.jpg?v=1696447087, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830420368567131-DSC_5344.jpg?v=1696447091, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830420376848589-DSC_5345.jpg?v=1696447096, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830420381067153-DSC_5346.jpg?v=1696447101, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830420384817291-DSC_5347.jpg?v=1696447109"
15311,Pyjama Set,7.92,4,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830420711849050-DSC_5968.jpg?v=1696446999, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830420717942798-DSC_5969.jpg?v=1696447002, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830420735599082-DSC_5977.jpg?v=1696447007, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830420725442811-DSC_5972.jpg?v=1696447011, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637830420742161690-DSC_5978.jpg?v=1696447016"
15315,Pyjama Set,7.92,3,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637801679838647804-DSC_5350.jpg?v=1696446960, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637801679841304045-DSC_5351.jpg?v=1696446964, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637801679849272786-DSC_5353.jpg?v=1696446969, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637801679855835433-DSC_5354.jpg?v=1696446973, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637801679861929096-DSC_5355.jpg?v=1696446978"
15316,Pyjama Set,9.85,5,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637801679427678980-DSC_5350.jpg?v=1696451135, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637801679430335153-DSC_5351.jpg?v=1696451141, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637801679437210154-DSC_5353.jpg?v=1696451144, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637801679443928986-DSC_5354.jpg?v=1696451149, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637801679452991552-DSC_5355.jpg?v=1696451153"
15317,Shorts Set,9.85,6,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637832146660779398-DSC_5360.jpg?v=1696447479, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637832146647029328-DSC_5351.jpg?v=1696447483, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637832146653904696-DSC_5353.jpg?v=1696447554, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637832146667185556-DSC_5361.jpg?v=1696447558, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637832146674998214-DSC_5363.jpg?v=1696447564"
15321,2 Piece Body,11.89,11,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637786298834494269-ikili.jpg?v=1696441159, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637786298839806854-DSC_6269.jpg?v=1696441166, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637786298845275543-DSC_6271.jpg?v=1696441174, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637786298844963368-DSC_6270.jpg?v=1696441181, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637786298850588043-DSC_6272.jpg?v=1696441187"
15330,Shorts Set,13.81,2,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637921880587045845-DSC_6664.jpg?v=1696448627, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637921880592670790-DSC_6665.jpg?v=1696448635, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637921880598452005-DSC_6666.jpg?v=1696448707, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637921880604076951-DSC_6669.jpg?v=1696448726, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637921880610014338-DSC_6671.jpg?v=1696448730"
15355,Jeans Skirt,12.01,4,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637986841482496956-DSC_7970_99ee5cd4-8f9d-4cc8-9c38-e6aaf5fc6e6c.jpg?v=1696446184, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637986841489996891-DSC_7972.jpg?v=1696446185"
15365,Dress,15.74,2,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637921880918673508-DSC_5591.jpg?v=1696443024, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637921880924142535-DSC_5593.jpg?v=1696443027"
15385,Blouse,6.36,7,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/DSC_7371.jpg?v=1696444305, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/DSC_7372.jpg?v=1696444309"
15406,T-Shirt,8.88,6,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637896069985923753-DSC_5742.jpg?v=1696442436, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637896069991861252-DSC_5743.jpg?v=1696442441"
15450,Dress,19.58,0,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637849376796317480-DSC_5452.jpg?v=1696442959, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637849376801942326-DSC_5453.jpg?v=1696442964"
15488,Skirt Set,13.81,4,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637907284050111638-DSC_8894.jpg?v=1696445249, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637907284052299074-DSC_8896.jpg?v=1696445253, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637907284058392767-DSC_8897.jpg?v=1696445258, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637907284064643068-DSC_8898.jpg?v=1696445263, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637907284072455362-DSC_8899.jpg?v=1696445267"
15494,Shorts Set,11.77,3,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637883066708815653-DSC_5914.jpg?v=1696447585, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637883066714596936-DSC_5915.jpg?v=1696447596, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637883066720222242-DSC_5916.jpg?v=1696447600, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637883066726003162-DSC_5918.jpg?v=1696447685, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637883066738877669-DSC_5919.jpg?v=1696447690"
15502,Shorts,5.16,4,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637832163656340508-DSC_5566.jpg?v=1696449433, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637832163664934209-DSC_5568.jpg?v=1696449441"
15532,Shorts,5.89,4,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637840844240551431-15532_alt.jpg?v=1696449486, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637840844246489023-DSC_5588.jpg?v=1696449491"
15533,Shorts,5.4,4,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637840844457895676-15533_alt.jpg?v=1696449463, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637840844466645844-DSC_5588.jpg?v=1696449466"
15559,Dress,17.05,5,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637951426776478250-DSC_5601.jpg?v=1696442995, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637951426771166053-DSC_5597.jpg?v=1696443001"
15579,2 Piece Body,11.89,12,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637826067394318598-ikili.jpg?v=1696440978, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637826067401037469-DSC_6740.jpg?v=1696441083, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637826067407287475-DSC_6741.jpg?v=1696441092, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637826067413537371-DSC_6745.jpg?v=1696441103, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637826067419318986-DSC_6746.jpg?v=1696441111"
15657,Unicorn Body Dress,9.25,8,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637951427135370396-ikili.jpg?v=1696441817, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637951427141776389-DSC_9369.jpg?v=1696441825, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637951427147869902-DSC_9370.jpg?v=1696441832, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637951427153963733-DSC_9371.jpg?v=1696441838"
15658,Pink Body,5.16,15,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637826065917808867-DSC_6704.jpg?v=1696448712, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637826065923746719-DSC_6705.jpg?v=1696448713"
15675,Flowers Body,4.69,8,https://cdn.shopify.com/s/files/1/0741/5830/9667/files/body-15675--4440.jpg?v=1696451021
15697,2 Piece Boxer,6.96,12,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637896072773741714-ikili.jpg?v=1696451322, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637896072844054384-DSC_8593.jpg?v=1696451327, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637896072850148162-DSC_8594.jpg?v=1696451331, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637896072856398173-DSC_8595.jpg?v=1696451336, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637896072877648610-DSC_8596.jpg?v=1696451340"
15732,Pink Stripped Body,5.16,9,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637879725754988877-DSC_7475.jpg?v=1696448823, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637879725760928257-DSC_7476.jpg?v=1696448827"
15735,Yellow Body,5.16,3,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637858876968746588-DSC_6971.jpg?v=1696441361, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637858876974683869-DSC_6972.jpg?v=1696441368"
15736,Fuchsia Body,5.16,9,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637879726223114831-DSC_7453.jpg?v=1696444938, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637879726226083871-DSC_7454.jpg?v=1696444984"
15745,Green Body,5.16,10,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637866587088406472-DSC_7250.jpg?v=1696445466, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637866587089344017-DSC_7251.jpg?v=1696445470"
15746,Navy Blue Body,5.16,8,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/body-15746-4ac75.jpg?v=1696447560, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/body-15746-fc0560.jpg?v=1696447563"
15786,Booty Trousers,4.81,2,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637865040112768975-DSC_7098.jpg?v=1696442052, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637865040120737827-DSC_7100.jpg?v=1696442059"
15789,Printed Blue Body,5.16,3,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/body-15789-59c0f4.jpg?v=1696449620, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/body-15789-11bb32.jpg?v=1696449622"
15808,Text Printed Sweatshirt,9.31,7,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638169844511297529-15080.jpg?v=1696456082, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638169844515828576-DSC_2233.jpg?v=1696456088"
15837,Unicorn Printed Dress,9.31,1,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637988484296995232-DSC_7279.jpg?v=1696456024, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637988484297620227-DSC_7280.jpg?v=1696833993"
15842,Tights Set,12.01,2,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/DSC_7194.jpg?v=1696450275, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/DSC_7197.jpg?v=1696450275, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/DSC_7195.jpg?v=1696450275, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/DSC_7199.jpg?v=1696450270, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/DSC_7200.jpg?v=1696450271"
15849,Floral Dress,15.02,3,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638043635826938511-DSC_7342.jpg?v=1696443363, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638043635833188254-DSC_7346.jpg?v=1696443369"
15857,Leggings,9.01,7,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637988481862792614-DSC_9391.jpg?v=1696446578, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637988481863261360-DSC_9393.jpg?v=1696446581"
15889,Panda Pyjama Set,12.49,3,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949486436955549-15889.jpg?v=1696448534, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949486442735784-DSC_8542.jpg?v=1696448539, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949486449610989-DSC_8543.jpg?v=1696448541, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949486455860905-DSC_8544.jpg?v=1696448547, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949486457891853-DSC_8545.jpg?v=1696448550"
15895,Pyjama Set,12.49,5,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/pijama-takim-15895-9-0bf5.jpg?v=1696448138, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/pijama-takim-15895-a016d5.jpg?v=1696448140, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/pijama-takim-15895-cea-4b.jpg?v=1696448144, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/pijama-takim-15895-fd50ca.jpg?v=1696448149, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/pijama-takim-15895-9-d49c.jpg?v=1696448151"
15898,Snowman Pyjama Set,9.69,1,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949485121161606-15898.jpg?v=1696608169, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949485127296379-DSC_8546.jpg?v=1696608172, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949485133863744-DSC_8548.jpg?v=1696608180, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949485140113596-DSC_8549.jpg?v=1696608181, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949485146207292-DSC_8553.jpg?v=1696608186"
15901,Printed Pyjama Set,9.69,4,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949481801510039-15901.jpg?v=1696607675, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949481810884607-DSC_9228.jpg?v=1696607680, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949481807447502-DSC_9227.jpg?v=1696607685, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949481818228609-DSC_9229.jpg?v=1696607689, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949481824321449-DSC_9230.jpg?v=1696607694"
15909,Worm Pyjama Set,12.49,0,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949479945948714-15909.jpg?v=1696441525, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949479948136121-DSC_9211.jpg?v=1696441529, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949479954698650-DSC_9213.jpg?v=1696441537, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949479960792268-DSC_9214.jpg?v=1696441544, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637949479966885940-DSC_9215.jpg?v=1696441549"
15913,Pyjamas Set,12.49,1,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637986849824933189-DSC_9309.jpg?v=1696448068, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637986849830870532-DSC_9310.jpg?v=1696448070, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637986849837314200-DSC_9311.jpg?v=1696448073, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637986849843563966-DSC_9312.jpg?v=1696448077, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637986849849501262-DSC_9313.jpg?v=1696448080"
15921,Sleep Cozy Jumpsuit,18.62,1,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637999831664478553-DSC_7238.jpg?v=1696606868, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637999831669790906-DSC_7239.jpg?v=1696606873"
15935,2-Piece Set,10.99,2,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637988422029841874-DSC_8022.jpg?v=1696596855, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637988422035154600-DSC_8023.jpg?v=1696596861, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637988422040466792-DSC_8025.jpg?v=1696596868, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637988422045779331-DSC_8027.jpg?v=1696596876, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637988422051091676-DSC_8028.jpg?v=1696596879, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637988422056560411-DSC_8030.jpg?v=1696596886"
15936,2-Piece Set,10.99,2,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638004992916532495-DSC_7175.jpg?v=1696597147, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638004992921858923-DSC_7176.jpg?v=1696597154, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638004992927327542-DSC_7178.jpg?v=1696597162, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638004992932483781-DSC_7179.jpg?v=1696597168, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638004992942796073-DSC_7180.jpg?v=1696597175"
15941,2-Piece Set,11.65,2,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638004985245470718-DSC_8855.jpg?v=1696597047, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638004985246095652-DSC_8856.jpg?v=1696597053, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638004985251942267-DSC_8857.jpg?v=1696597060, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638004985257254621-DSC_8858.jpg?v=1696597067, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638004985262567217-DSC_8860.jpg?v=1696597073"
15949,Trouser,13.51,5,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637967778622620554-DSC_8842.jpg?v=1696441886, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637967778628401676-DSC_8844.jpg?v=1696441895, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638003992550258242-0921.jpg?v=1696441902"
15952,Hooded Sweatshirt,9.87,6,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638034262775323042-DSC_8656.jpg?v=1696457151, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638034262781573140-DSC_8658.jpg?v=1696457157"
15981,Sweat Shirt,8.8,0,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637993751711222931-DSC_8678.jpg?v=1696607963, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637993751711847962-DSC_8680.jpg?v=1696607967"
16020,Jeans,16.99,7,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637986776205374084-DSC_7981.jpg?v=1696445960, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637986776211936362-DSC_7982.jpg?v=1696445966, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637986776205374084-DSC_7981_8c6722f0-f2c5-4aa6-970d-fbce81ac5a2a.jpg?v=1696446039, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637986776211936362-DSC_7982_f3ad334f-3764-49d4-88f4-4188ad383374.jpg?v=1696446042"
16025,Floral Leggings,9.01,5,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637982564722630063-DSC_8252.jpg?v=1696443504, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637982564727942541-DSC_8256.jpg?v=1696443507"
16035,Unicorn Embroidered Sweatshirt,11.65,6,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638054132281635546-DSC_9434.jpg?v=1696456055, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/638054132288197795-DSC_9435.jpg?v=1696456062"
